test_question,train_question_1,train_question_2,train_question_3,score_1,score_2,score_3
"방청 페인트의 종류에는 어떤 것들이 있는지 알고 계신가요? 또한, 원목사이딩을 사용하는 것에 어떤 단점이 있을까요?",다공질 흡음재의 종류에는 어떤 것들이 있는지 알 수 있을까요?,원목사이딩을 사용하는데 어떤 단점이 있을까요?,방청 페인트의 기능이 뭐야?,[[0.39696332]],[[0.39451154]],[[0.33058104]]
도배지에 녹은 자국이 발생하는 주된 원인과 그 해결 방법은 무엇인가요?,결로가 발생하는 주된 이유가 무엇인가요?,새집증후군의 해결 방법이 뭐야? ,방음이 뭐야,[[0.48482897]],[[0.3580227]],[[0.]]
"큐블럭의 단점을 알려주세요. 또한, 압출법 단열판을 사용하는 것의 장점은 무엇인가요?",압출법 단열판을 사용할 때 어떤 단점이 있을까요?,롱브릭타일을 사용하는 것의 장점은 무엇인가요?,장판을 사용하는 것의 장점은 무엇인가요?,[[0.47498428]],[[0.40671293]],[[0.40671293]]
"철골구조를 사용하는 고층 건물에서, 단열 효과를 높이기 위한 시공 방법은 무엇이 있을까요?",내진설계에서 안전성을 높이기 위한 순서는 무엇인가요?,장판 시공 시간은 어떻게 돼?,도배와 페인트 시공 중 뭐가 더 비용이 많이 들어?,[[0.3179493]],[[0.25365868]],[[0.1780788]]
도배지의 완전한 건조를 위해 몇 주 동안 기다려야 하나요?,도배지의 끝부분이 들뜨는 경우 해결할 방법이 있을까요?,아스팔트슁글은 무엇을 위해 사용되는 재료인가요?,새집증후군을 예방하기 위해 사용할 수 있는 실용적인 방법이 있을까요?,[[0.31039179]],[[0.19645135]],[[0.16917433]]
철근철골콘크리트 구조가 적용된 건물의 장단점은 무엇인가요?,조적식 구조가 뭐야?,철근콘크리트 구조가 뭐야?,철골콘크리트 구조가 뭐야?,[[0.61137462]],[[0.58890103]],[[0.58890103]]
"어떤 상황에 개별 공간이 더 적합한지, 어떤 상황에 오픈 플랜 공간이 더 적합한지 알려주세요. 그리고 합지벽지의 어떤 단점이 있나요?","대리석 타일은 어떤 재료로 만들어지며, 어떤 공간에 적합한지 알려주세요.",방청 페인트는 어떤 상황에 사용하는 것이 좋을까요?,개별 공간과 오픈 플랜 공간 중 어떤 것이 나에게 더 적합한가요?,[[0.30749865]],[[0.30282689]],[[0.27531917]]
도배지 들뜸 현상이 발생하는 가장 일반적인 원인은 무엇인가요?,천장 부위 결로가 발생하는 가장 일반적인 원인은 무엇인가요?,발코니에 결로가 발생하는 원인은 뭐야?,점토벽돌의 백화 현상이 뭐야?,[[0.62003899]],[[0.33099666]],[[0.27911423]]
도배지에 얼룩이 생기는 다양한 원인들에 대해서 자세히 알려주세요.,도배지에 얼룩이 있어,도배지에 울음이 생겼어,누수에 의해 도배지에 녹이 묻어나올 수 있어?,[[0.51849753]],[[0.15740794]],[[0.11496524]]
고층 건물을 건축할 때 철골구조가 주로 선택되는 이유는 무엇인가요?,철골구조가 뭐야?,면진구조가 뭐야?,철골콘크리트 구조가 뭐야?,[[0.61194479]],[[0.]],[[0.]]
유성페인트의 환경 오염에 대한 예시를 알려주세요.,유성페인트의 특징이 뭐야?,합판마루에 대해 알려줘,전벽돌의 단점이 뭐야,[[0.49759897]],[[0.]],[[0.]]
"훼손과 오염은 어떻게 다른가요? 또한, 부실 시공으로 인해 타공하자가 발생할 가능성이 있나요?",부실 시공으로 인해 타공하자가 발생할 수 있어?,훼손과 오염의 차이는 뭐야?,부주의한 시공으로 인해 도배지 패턴이 이어지지 않을 수 있어?,[[0.75433876]],[[0.22566913]],[[0.22203096]]
"철골콘크리트 구조에서 사용되는 철근의 재료적 특징은 무엇인가요?""",철골콘크리트 구조란 무엇인가요?,철골콘크리트 구조가 뭐야?,콘크리트 구조는 어떤 방식이 있어?,[[0.5059634]],[[0.45716882]],[[0.]]
방염벽지가 실크벽지와 합지벽지와 다른 점은 무엇인가요?,방염벽지가 뭐야?,데코타일의 단점이 뭐야?,온돌마루는 기대수명이 얼마야?,[[0.59161631]],[[0.]],[[0.]]
"도배지에 곰팡이가 생겼을 때 높은 습도가 원인인 경우, 습기 관리는 어떻게 해야 할까요?""",도배지에 곰팡이가 생겼을 때 어떻게 제거해야 하나요?,습도가 높으면 곰팡이가 발생할 수 있어?,곰팡이가 증식하기 좋은 환경이 뭐야?,[[0.50483199]],[[0.34716779]],[[0.14205681]]
롱브릭타일은 어떤 종류의 타일인가요? 그리고 페인트 상도재의 역할과 사용 방법에 대해 알려주세요.,페인트 상도재의 역할과 사용 방법에 대해서 알려주세요.,롱브릭타일은 뭐야?,"스마트홈 시스템을 집에 설치하려고 하는데, 보안에 대해 어떤 조치를 취해야 해?",[[0.73507697]],[[0.33853162]],[[0.05488406]]
준불연재료는 무엇인가요? 그리고 유성페인트를 사용하는 것에 대한 부작용이 있을까요?,노출콘크리트를 사용하는 것에 대한 주요 단점은 무엇인가요?,폴리싱 타일을 사용하는 것에 대한 주요 단점이 무엇인가요?,유성페인트를 사용하는 것에는 어떤 부정적인 측면이 있을까요?,[[0.57555657]],[[0.55814361]],[[0.38065627]]
어떤 환경 요인이 몰딩 수정을 유발할 수 있는가요? 그리고 반점이 생긴지 1년 이내인 하자에 대해 어떤 보수작업을 해야 하나요?,반점이 생긴지 1년 이내인 하자는 보수작업은 어떻게 해?,벽지와 도료 중 어떤 것을 선택해야 하나요?,원목마루에 대해 알려줘,[[0.592853]],[[0.12727898]],[[0.09337678]]
"벽에 뚫린 구멍이 이상하다고 하셨는데, 타공 불량이 발생하는 원인과 그 해결 방법에 대해 자세히 설명해주실 수 있나요?""",벽에 뚫린 구멍이 이상해,새집증후군의 해결 방법이 뭐야? ,"스마트홈 시스템을 집에 설치하려고 하는데, 보안에 대해 어떤 조치를 취해야 해?",[[0.49020226]],[[0.23707628]],[[0.03846803]]
다이닝 룸을 더 고급스럽게 꾸밀려면 어떻게 해야 하나요와 아레카 야자를 키우면 어떤 이점이 있는지의 관계는 무엇인가요?,어떻게 다이닝 룸을 현대적으로 꾸밀 수 있을까요?,어떻게 다이닝 룸을 정통적으로 꾸밀 수 있을까요?,도배풀을 제거하려면 어떻게 해야 해?,[[0.43383838]],[[0.41752807]],[[0.25258539]]
"습도가 높아서 석고수정이 발생하나요? 또한, 피스 하자가 무엇인지 자세히 설명해 주실 수 있나요?""",단열벽지가 무엇인지 자세히 설명해 주실 수 있나요?,피스 하자가 뭐야?,습도가 높으면 곰팡이가 발생할 수 있어?,[[0.54292167]],[[0.4887008]],[[0.1710454]]
"공동주택의 실내 공기질을 측정할 때, 어떤 층에서 샘플을 채취하는 것이 가장 적절한가요?""",공동주택의 실내 라돈 측정지점을 어디에 정하는 것이 가장 적합한가요?,공동주택의 실내 라돈의 측정지점은 어떻게 돼?,목구조는 어떤 방식이 있어?,[[0.45207126]],[[0.3986486]],[[0.04432709]]
"타일 바닥에서 파손된 타일을 교체하는 과정에 어떤 단계가 포함되나요? 또한, 겨울에 도배를 할 때 특별히 신경써야 할 사항이 있을까요?",타일 바닥에서 파손된 타일을 교체하는 방법은?,타일 마감자재는 어떻게 처리해?,흡음재 구조는 어떤 것이 있어?,[[0.69385616]],[[0.14980126]],[[0.02912337]]
"유성페인트를 사용하는 것에 대한 부작용이 있을까요? 또한, 페인트가 남으면 어디에 보관하는 게 좋을까요?",페인트가 남으면 어떻게 처리해?,도배지가 남으면 어떻게 처리해?,개별 공간과 오픈 플랜 공간 중 어떤 것이 나에게 더 적합한가요?,[[0.41113985]],[[0.22350442]],[[0.]]
"가장 비싼 바닥재는 어떤 종류인가요? 또한, 유광 자기질 타일은 얼마나 오랫동안 사용할 수 있을까요?",가장 비싼 바닥재는 뭐야?,분말 소화기를 사용할 때 주의할 점이 뭐야?,목구조는 어떤 방식이 있어?,[[0.52591195]],[[0.09704881]],[[0.0301332]]
풍수지리를 활용하여 집을 꾸밀 때 어떤 주의사항을 고려해야 할까요? 그리고 스탠드조명을 선택할 때 주의할 점이 있을까요?,풍수지리를 활용하여 집을 꾸밀 때 주의해야 할 점이 무엇인가요?,냉장고를 옮길 때 주의할 점이 뭐야?,장롱 옮길 때 주의할 점이 뭐야?,[[0.71045469]],[[0.28602856]],[[0.2823482]]
반점이 1년 이상 생긴 하자를 보수하는 방법은 무엇인가요? 그리고 불량 도배지를 사용할 경우 도배지가 얼마나 오랫동안 버틸까요?,불량 도배지를 사용할 경우 도배지가 얼마나 오랫동안 사용 가능할까요?,불량 도배지를 사용할 경우 도배지가 찢어질 수 있어?,반점이 생긴지 1년 이상인 하자는 보수작업은 어떻게 해?,[[0.65897037]],[[0.56300162]],[[0.23031345]]
평지붕의 단점은 무엇인가요? 그리고 실크벽지의 교체 주기는 얼마나인가요?,평지붕의 단점은 뭐야?,카페트는 기대수명이 얼마야?,롱브릭타일은 뭐야?,[[0.61595832]],[[0.]],[[0.]]
경량철골구조는 어떤 건물에 사용되는 건축 구조물인가요? 그리고 철골구조의 장점은 무엇인가요?,경량철골구조는 어떤 구조인가요?,철골구조의 장점이 뭐야?,내진설계의 종류 좀 알려줘,[[0.40385241]],[[0.34045911]],[[0.]]
프리케스트 콘크리트 구조에 대해 자세히 설명해 주실 수 있나요? 그리고 조적식 구조란 무엇인가요?,조적식 구조에 대해 좀 더 자세히 설명해 주실 수 있을까요?,프리케스트 콘크리트 구조란 무엇인가요?,철골콘크리트 구조란 무엇인가요?,[[0.73921444]],[[0.6237708]],[[0.28770573]]
반려동물을 위한 가구로 낮은 높이의 가구와 패브릭 소재의 가구가 선택되는 이유는 무엇인가요?,반려동물들을 위한 가구로 어떤 것이 있어?,반려동물을 위한 바닥재는 어떤 것이 있어?,층간소음을 줄이기 위한 인테리어 추천해줘,[[0.40753839]],[[0.37540811]],[[0.11486779]]
몰딩 수정을 예방하기 위해 건물 내부에서 어떤 종류의 환경 관리가 필요한가요?,새집증후군을 예방하기 위해 사용할 수 있는 실용적인 방법이 있을까요?,사무실의 실내공기 측정을 위해 어떤 장비가 필요한가요?,목구조에는 어떤 종류의 방식이 있는지 알려주세요.,[[0.34493513]],[[0.29525118]],[[0.17214944]]
"KMEW 세라믹 지붕재의 단점에 대해 알려주세요. 또한, 세라믹 타일을 사용할 때 고려해야 할 단점은 무엇인가요?",KMEW 세라믹 지붕재의 단점은 무엇인가요?,KMEW 세라믹 지붕재의 장점이 뭐야?,KMEW 세라믹 지붕재의 단점이 뭐야?,[[0.74890033]],[[0.63393271]],[[0.63269062]]
"줄퍼티 마감은 무엇인가요? 또한, 액체방수공사는 무엇을 하는 것인가요?",줄퍼티 마감은 무엇을 의미하나요?,줄퍼티 마감이 뭐야?,기존 바닥재 위에 새 바닥재를 덧방해도 되나요?,[[0.62052493]],[[0.29653406]],[[0.]]
